serial,name,county,school,batch,detail-link
010402-18,勤毅樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=18&blank
010402-19,勵志樓,新北市,市立瑞芳高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=19&blank
010402-21,員工眷屬宿舍,新北市,市立瑞芳高工,99年8批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=21&blank
010402-22,員工眷屬宿舍二,新北市,市立瑞芳高工,99年8批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=22&blank
010402-23,人事職務宿舍,新北市,市立瑞芳高工,99年8批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=23&blank
010402-27,建興樓2、3,新北市,市立瑞芳高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010402&bid=27&blank
010430-1,機械大樓,新北市,市立三重商工,98年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=1&blank
010430-2,信義樓,新北市,市立三重商工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=2&blank
010430-3,仁愛樓,新北市,市立三重商工,98年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=3&blank
010430-4,忠孝樓,新北市,市立三重商工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=4&blank
010430-20,機圖科,新北市,市立三重商工,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010430&bid=20&blank
010433-1,機圖科大樓,新北市,市立新北高工,99年5批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=1&blank
010433-4,模具科大樓,新北市,市立新北高工,99年5批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=4&blank
010433-6,電機科大樓,新北市,市立新北高工,99年5批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=6&blank
010433-7,圖書館,新北市,市立新北高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=7&blank
010433-8,行政大樓,新北市,市立新北高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=8&blank
010433-9,教學大樓(一),新北市,市立新北高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=9&blank
010433-11,男生宿舍,新北市,市立新北高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=11&blank
010433-12,幼稚園,新北市,市立新北高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=12&blank
010433-13,汽車科大樓,新北市,市立新北高工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=13&blank
010433-14,教學大樓(二),新北市,市立新北高工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=14&blank
010433-16,機械科大樓左棟,新北市,市立新北高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=16&blank
010433-17,機械科大樓右棟,新北市,市立新北高工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010433&bid=17&blank
010434-1,資訊控制大樓,新北市,市立淡水商工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=1&blank
010434-3,商科教學大樓,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=3&blank
010434-4,活動中心,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=4&blank
010434-5,圖書館,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=5&blank
010434-6,餐飲教學大樓,新北市,市立淡水商工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=6&blank
010434-8,學生宿舍,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=8&blank
010434-10,園藝實習中心,新北市,市立淡水商工,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=10&blank
010434-11,育璞館,新北市,市立淡水商工,98年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=11&blank
010434-15,綜合教學大樓,新北市,市立淡水商工,98年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=010434&bid=15&blank
014302-3,圖書館A,新北市,市立海山高中,107年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014302&bid=3&blank
014302-7,易行樓,新北市,市立海山高中,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014302&bid=7&blank
014302-8,活動中心,新北市,市立海山高中,107年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014302&bid=8&blank
014302-12,忠孝樓,新北市,市立海山高中,108年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014302&bid=12&blank
014302-13,莊敬樓,新北市,市立海山高中,106年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014302&bid=13&blank
014311-1,希賢樓,新北市,市立三重高中,104年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014311&bid=1&blank
014311-4,至真樓,新北市,市立三重高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014311&bid=4&blank
014311-6,至善樓,新北市,市立三重高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014311&bid=6&blank
014311-9,工藝大樓,新北市,市立三重高中,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014311&bid=9&blank
014311-10,希聖樓北,新北市,市立三重高中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014311&bid=10&blank
014311-11,希聖樓南,新北市,市立三重高中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014311&bid=11&blank
014311-12,至美樓東,新北市,市立三重高中,106年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014311&bid=12&blank
014311-13,至美樓西,新北市,市立三重高中,106年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014311&bid=13&blank
014315-1,仁愛樓,新北市,市立永平高中,108年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014315&bid=1&blank
014315-4,和平樓B,新北市,市立永平高中,106年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014315&bid=4&blank
014315-6,中正樓,新北市,市立永平高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014315&bid=6&blank
014315-7,體育館,新北市,市立永平高中,108年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014315&bid=7&blank
014322-1,信義樓,新北市,市立樹林高中,104年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014322&bid=1&blank
014322-2,明德樓,新北市,市立樹林高中,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014322&bid=2&blank
014322-4,和平樓,新北市,市立樹林高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014322&bid=4&blank
014322-7,忠孝樓,新北市,市立樹林高中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014322&bid=7&blank
014322-8,至善樓,新北市,市立樹林高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014322&bid=8&blank
014326-1,如雅樓,新北市,市立明德高中,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014326&bid=1&blank
014326-2,東風樓,新北市,市立明德高中,99年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014326&bid=2&blank
014326-3,時雨樓,新北市,市立明德高中,108年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014326&bid=3&blank
014326-4,明德樓,新北市,市立明德高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014326&bid=4&blank
014326-9,子惠樓,新北市,市立明德高中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014326&bid=9&blank
014332-2,仁愛樓,新北市,市立秀峰高中,105年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014332&bid=2&blank
014332-3,忠孝樓,新北市,市立秀峰高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014332&bid=3&blank
014332-4,信義樓,新北市,市立秀峰高中,105年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014332&bid=4&blank
014332-5,和平樓,新北市,市立秀峰高中,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014332&bid=5&blank
014338-1,D棟,新北市,市立金山高中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014338&bid=1&blank
014338-7,廚房,新北市,市立金山高中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014338&bid=7&blank
014338-10,B棟,新北市,市立金山高中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014338&bid=10&blank
014338-11,C棟,新北市,市立金山高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014338&bid=11&blank
014338-12,A1棟,新北市,市立金山高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014338&bid=12&blank
014338-13,A2棟,新北市,市立金山高中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014338&bid=13&blank
014343-1,日新樓及據德樓,新北市,市立安康高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014343&bid=1&blank
014343-3,誠正樓,新北市,市立安康高中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014343&bid=3&blank
